answer_text,date_created,date_updated,search_table_id,category_main,category_sec,category_thir,category_four,category_five,link_main,link_sec,link_thir,name_link_main,name_link_sec,name_link_thir
"De acuerdo a un gran numero de recomendaciones, ""YS Accounting - Taxation services"" es una de las mejores empresas para tramite de el tax return y super annuation. Para mayor informacion, dirigete a la pagina web a continuacion.",6-Aug-19,6-Aug-19,25,Negocios,Contador,Tax,Super,,https://ysaccounting.com.au/,,,YSA Accounting,,
Existen muchas companias de seguro las cuales te pueden ofrecer el seguro medico que se requiere para la visa. Entre los mas recomendados y segun nuestro analisis estan las siguientes empresas.,6-Aug-19,6-Aug-19,26,Negocios,Seguro,Visa,Estudiar,,https://www.bupa.com.au/,https://www.allianz.com.au/,https://www.medibank.com.au/,BUPA,Allianz,Medibank
"Existen varias alternativas para buscar y poder convivir con una familia Australiana, mas sin embargo la mas recomendada es la de buscar un Home Stay, la cual es una familia Australiana que busca estudiantes para que compartan con sus hijos. Para buscar familias que brinden HomeStay puedes dirigirte a la siguiente pagina web.",6-Aug-19,6-Aug-19,27,Negocios,Vivienda,Familia,Australia,,https://homestaynetwork.com.au/,,,Homestay,,
"De acuerdo a diferentes opiniones y recomendaciones, las empresas mas utilizadas para buscar por cruceros son Crazy Cruises y Cruise Guru. Puedes mirar estas dos empresas a continuacion.",6-Aug-19,6-Aug-19,28,Viaje,Cruceros,,,,https://www.crazycruises.com.au/,https://www.cruiseguru.com.au/,,Crazy Cruises,Cruise Guru,
"Para denunciar a un empleador por motivos de trato injusto, puedes contactar a un Ombudsman or Fair Work Australia. Para mayor informacion dirigete a las siguientes paginas web.",6-Aug-19,6-Aug-19,18,Negocios,Denuncias,Trabajo,,,https://www.fairwork.gov.au/,https://www.ombudsman.gov.au/,,Fair Work Australia,Ombudsman,
"Si quieres transferir o recibir dinero desde el exterior, te recomendamos que TransferWise or World Remit, ya que basado en recomendaciones, estan son las que cobran menos comision y son muy efectivas.",6-Aug-19,6-Aug-19,30,Negocios,General,Transferencia,,,https://transferwise.com,https://www.worldremit.com/,,TransferWise,World Remit,
"Si quieres ser atendido por un medico que hable el español, te recomendamos que contactes a la Dra Regina Skvirsky la cual trabaja para Kings medical. Si quieres mas informacion, dirigete a la siguiente pagina web.",6-Aug-19,6-Aug-19,31,Negocios,Medicos,Español,,,http://kingsmed.com.au/services/dr-regina-skvirsky-mbbs-dip-paeds-unsw/,,,Kingsmed,,
"Basado en recomendaciones, se te recomienda mejor comprar una bicicleta de segunda mano ya que esta sera mas economica a largo plazo. Si quieres buscar y comprar bicicletas de segunda mano, puedes dirigirte a las paginas web a continuacion.",6-Aug-19,6-Aug-19,32,Negocios,Bicicletas,Trabajo,,,https://www.gumtree.com.au/,https://www.bikeexchange.com.au,,Gumtree,Bike Exchange,
"De acuerdo a diferentes opiniones y casos, la duracion de la aprobacion de la visa puede ser de 1 a 7 semanas. Todo depende de la temporada y de el numero de aplicaciones que se esten tramitando en ese momento.",6-Aug-19,6-Aug-19,33,Visa,Duracion,Estudiar,,,,,,,,
"Cualquier persona o negocio te podria prestar este dinero para demostrar que tienes la solvencia economica y poder adquirir la visa, mas sin embargo este proceso es ilegal y ninguna agencia estaria dispuesta a hacerlo. Si en algun momento alguna agencia te ofrece este servicio, debes tener mucho cuidado ya que esto es ilegal.",6-Aug-19,6-Aug-19,34,Visa,Tramites,Estudiar,,,,,,,,
"Los requisitos para la visa de pareja o de facto, varian dependiendo de que visa necesites (Visa de pareja temporal, o visa de pareja permanente). Para mas informacion puedes dirigirte a la siguiente pagina web.",6-Aug-19,6-Aug-19,35,Visa,Requisitos,Estudiar,Pareja,,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/partner-onshore,,,Govierno de Australia,,
La visa de transito es completamente gratis y se te demora de 8 dias a 19 dias dependiendo de la cantidad de aplicaciones que se esten manejando en ese momento. Para mas informacion dirigete a la siguiente pagina web.,6-Aug-19,6-Aug-19,36,Visa,Duracion,Transito,,,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/transit-771,,,Govierno de Australia,,
"Para viajar a Vietnam como Colombiano, necesitas una visa. Es muy sencillo conseguir la visa, lo único que debes hacer es ingresar al página <LINK1> y aplicar a la visa on arrival. El link es seguro, y es recomendado por Lonely Planet <LINK2>. Al llegar a Vietnam con la carta de approval muestras tu pasaporte y pagas el stamp.",6-Aug-19,6-Aug-19,37,Viaje,Visa,Vietnam,Filipinas,Myanmar,https://vietnamvisacenter.org/,https://www.lonelyplanet.com/vietnam/visas,,Embajada de Vietnam,Lonely Planet,
"Si tu visa es de múltiples entradas puedes entrar de nuevo usando la misma visa mientras esté vigente, de lo contrario debes solicitar una nueva.",6-Aug-19,6-Aug-19,38,Visa,Regulacion,Australia,,,,,,,,
"Es recomendable que apliques para la visa de estudiante desde un principio. Tambien puedes aplicar a la visa de turista y despues puedes cambiar de visas cuando estes en Australia siempre y cuando no tengas restricciones en la visa que tienes actualmente. Para ver si tienes alguna condicion o restriccion en tu visa, simplemnete ve a la pagina web a continuacion.",6-Aug-19,6-Aug-19,39,Visa,Regulacion,Turista,Estudiar,,https://immi.homeaffairs.gov.au/visas/getting-a-visa/moving-between-visas,,,Govierno de Australia,,
"No necesitas visa en Japon si solo vas a estar de escala y salir del pais de inmediato, mas sin embargo se te recomienda que revises bien si no necesitas salir de el Aeropuerto hacia diferente aeropuerto.",6-Aug-19,6-Aug-19,40,Viaje,Visa,Japon,,,,,,,,
"Si tu viaje es menor a 90 días, como colombiano no necesitas visa. Para ver mas paises donde no necesitas visa, ingresa al siguiente enlace <LINK1>",6-Aug-19,6-Aug-19,41,Viaje,Visa,Corea del Sur,,,https://viajandoconpasaportecolombiano.com/paises-donde-los-colombianos-necesitamos-visa/,,,Colomviajeros,,
"La regulación en Australia exige que traigas medicinas únicamente para ti, es decir, uso personal. Requieres traer la prescripción médica. Lo mejor que puedes hacer es declararlo cuando hagas el proceso de immigración en Australia, recuerda que lo máximo permitido es 3 meses de medicinas. Para mas información ingresa al siguiente.",6-Aug-19,6-Aug-19,12,Vida,Ley,,,,https://www.tga.gov.au/entering-australia,,,Departamento de Salud de Australia,,
"La regulación en Australia exige que traigas medicinas únicamente para ti, es decir, uso personal. Requieres traer la prescripción médica. Lo mejor que puedes hacer es declararlo cuando hagas el proceso de immigración en Australia, recuerda que lo máximo permitido es 3 meses de medicinas. Para mas información ingresa al siguiente <LINK1>",6-Aug-19,6-Aug-19,12,Vida,Ley,,,,https://www.tga.gov.au/entering-australia,,,Departamento de Salud de Australia,,
"Existe educacion de pre escolar gratuita para immigrantes, pero esto depende de el estado o territorio donde te encuentres, ya que no todos los estados de Australia ofrecen este beneficio.",6-Aug-19,6-Aug-19,44,Vida,Educacion,Hijos,Familia,,https://www.studyinaustralia.gov.au/english/australian-education/bringing-your-children,,,Estudia en Australia,,
"Con base a diferentes comentarios y un analisis hecho, el promedio de pago por hora que un estudiante internacional puede obtener es de $AUD 18 a $AUD 25. Solo tienes permitido trabajar 20 horas a la semana como estudiante. Si quieres saber mas de tips para encontrar trabajo en Australia, lee nuestro blog a continuacion.",6-Aug-19,6-Aug-19,45,Trabajo,Pago,Ingreso,,,Blog,,,,,
En Passporr te damos todas las herramientas para tu viaje. En el siguiente <LINK1> puedes encontrar nuestra calculadora que te brindará una guia sobre tu presupuesto.,6-Aug-19,6-Aug-19,46,Vida,Calculadora,Trabajo,Pago,,Calculator,Blog,,,,
"Existen varias iglesias cristianas con servicio en español. Una de ellas es Planetshakers que queda en 400 City Road, Southbank. Para más información ingresa a <Link 1>",6-Aug-19,6-Aug-19,47,Negocios,Iglesia,Cristiana,,,https://www.planetshakers.com/australia/melbourne-city/,,,Planetshakers,,
"Como ciudadano Colombiano, si requieres visa para viajar a Japon. Esta visa la tienes que tramitar en la embajada de Japon del pais donde resides. A continuacion te mostramos la pagina web de la embajada Japonesa.",6-Aug-19,6-Aug-19,23,Viaje,Visa,Japon,,,https://www.au.emb-japan.go.jp/itprtop_en/index.html,,,Embajada de Japon,,
"Como ciudadano Colombiano, si requires una visa para visitar o para transitar por cualquier ciudad de China. Mas sin embargo, debido a una nueva actualizacion, podrias solicitar un permiso ""Free Transit Visa"" en aeropuertos de ciudades principales de China, y podrias salir del aeropuerto hasta por 24 horas. Para mayor informacion dirigete a la siguiente pagina web.",6-Aug-19,6-Aug-19,49,Viaje,Visa,China,Transito,,https://visados.com/es/visados-para-China,https://viajandoconpasaportecolombiano.com/paises-donde-los-colombianos-necesitamos-visa/?sfns=mo&fbclid=IwAR3RcpXIJBntPeKvDkwqgXnN4WPG5WptTfkaYeAqQid0BQn2AUGr7lw9fC0,,Visados,Free Transit Visa,
"Una vez te nieguen la visa, el tiempo que debes esperar para poder aplicar de nuevo es de 6 meses.",6-Aug-19,6-Aug-19,50,Visa,Tramites,Estudiar,,,,,,,,
"Como ciudadano Colombiano, si requieres visa para viajar a Malasia. Esta visa la tienes que tramitar en la embajada de Malasia del pais donde resides. A continuacion te mostramos la pagina web de la embajada de Malasia.",6-Aug-19,6-Aug-19,23,Viaje,Visa,Japon,,,https://www.au.emb-japan.go.jp/itprtop_en/index.html,,,Embajada de Japon,,
"Cuando vienes de Latino y Norte de America, la mayoria de aerlineas te permiten viajar on dos maletas de 23KG cada una, entre ellas United, Quantas y LATAM, las cuales tienen un convenio entre si. De acuerdo a un gran numero de recomendaciones y un analisis que hicimos, los siguientes sitios web son las agencias donde puedes encontrar ticketes aereos mas economicos.",6-Aug-19,6-Aug-19,52,Viaje,Buscadores,Maletas,Negocios,,https://www.cheapoair.com/,https://www.agoda.com,Blog,Cheapoair viajes,Agoda Viajes,
"Si es posible que te aprueben la visa despues de haber sido negada en una ocacion. Esto depende que la asesoria que te han brindado al comienzo. Existen muchas agencias de immigracion que te pueden ayudar a tramitar tu visa de estudiante. Estas agencias se encuentran ubicadas en Colombia o en Australia y las puedes contactar por su pagina web. A continuacion, puedes leer nuestro blog acerca de como escoger una agencia estudiantil. Tambien te recomendamos usar nuestra herramienta de comparasion para que compares cursos en Australia.",6-Aug-19,6-Aug-19,53,Visa,Tramites,Estudiar,,,Blog,,,,,
"Para viajar a Vietnam como Colombiano, necesitas una visa. Es muy sencillo conseguir la visa, lo único que debes hacer es ingresar al página y aplicar a la visa on arrival. El link es seguro, y es recomendado por Lonely Planet. Al llegar a Vietnam con la carta de approval muestras tu pasaporte y pagas el stamp.",6-Aug-19,6-Aug-19,37,Viaje,Visa,Vietnam,Filipinas,Myanmar,https://vietnamvisacenter.org/,https://www.lonelyplanet.com/vietnam/visas,,Embajada de Vietnam,Lonely Planet,
"De acuerdo a recomendaciones de otras personas, se aconseja presentar el PTE, ya que es mucho mejor y mas estructurado. Igualmente, Existen muchas instituciones educativas en donde puedes estudiar Ingles. Estas instituciones cuentan con su pagina web y las puedes encontrar en toda Australia. A continuacion, puedes leer nuestro blog acerca de como escoger una institucion educativa. Tambien te recomendamos usar nuestra herramienta de comparasion para que compares cursos en Australia.",6-Aug-19,6-Aug-19,55,Cursos,Buscador,Visa,Estudiar,IELTS,Comparison page,Blog,,,,
"De acuerdo a diferentes recomendaciones, se aconseja tomar el examen de IELTS academico. Igualmente, Existen muchas instituciones educativas en donde puedes estudiar Ingles. Estas instituciones cuentan con su pagina web y las puedes encontrar en toda Australia. A continuacion, puedes leer nuestro blog acerca de como escoger una institucion educativa. Tambien te recomendamos usar nuestra herramienta de comparasion para que compares cursos en Australia.",6-Aug-19,6-Aug-19,56,Cursos,Buscador,Negocios,IELTS,Estudiar,Comparison page,Blog,,,,
"Lo mas recomendable es el de aplicar a becas estudiantiles, ya que segun un analisis y recomendaciones de otras personas, el estudiar un posgrado o una maestria y trabajar a la misma vez, es bastante complicado debido a os horarios de clase de las universidades.",6-Aug-19,6-Aug-19,57,Cursos,Becas,Estudiar,,,,,,,,
"Para prestar  utilizar libros para tu aprendizaje en el ILETS, puedes registrarte en cualquier biblioteca y hacer buen uso de estos materiales. Simplemente busca tu biblioteca local y solicita tu registro.",6-Aug-19,6-Aug-19,58,Negocios,IELTS,Libros,,,,,,,,
"Si puedes cambiar de institucion. Sólo debes pedirle a tu agente que solicite la release letter de tu colegio actual, especificando la razón por la cual la solicitas el cambio. Esta puede ser por quejas respecto a la calidad de la educación impartida, que tienes una oferta mejor de otra escuela, si te vas a cambiar de ciudad, entre otros motivos. Si no tienes actualmente un agente de estudios puedes acudir a alguno que te ayude con el proceso. ",6-Aug-19,6-Aug-19,59,Visa,Regulacion,Estudiar,Colegios,,Comparison page,Blog,,,,
"Basado en experiencias de otras personas, el timepo promedio para conseguir trabajo en Australia como estudiante es de 2 semanas. Este timepo se puede extender hasta 4 semanas dependiendo de la temporada en la que estes. A continuacion te dejamos un blog que te ayuda con tips en como encontrar trabajo en Australia.",6-Aug-19,6-Aug-19,60,Trabajo,Pago,Vida,Calculadora,,Blog,,,,,
"Debido a las pocas horas que puedes trabajar, es un poco dificil sostener una familia con esos ingresos. Te recomendamos que veas la opción de irte como estudiante de posgrado. En este caso, una persona iria como estudiante y la pareja iria como dependiente del menor. El dependiente en este caso podria trabajar full time, osea 40 horas a la semana. Haciendo el proceso de esta manera, es menos complejo para el proceso de visa, y tienes la opción de hacer posgrado por dos años, la cual le permite aplicar a una posgraduate visa, que es para trabajar otros dos años.",6-Aug-19,6-Aug-19,61,Trabajo,Pago,Vida,Calculadora,Familia,,,,,,
SBS es uno de los pocos canales de la television Australiana que cuentan con un noticiero en Español. ,6-Aug-19,6-Aug-19,62,Negocios,Medios de Comunicación,Vida,,,,,,,,
"Existen varias iglesias con misa en español. La iglesia de St. Therese en 45 Sutherland St, Mascot tiene misa a las 6:30 pm los sábados. Adicionalmente, la iglesia de St. Michaels en 10 Croydon Road, Hurstville tiene misa en español los sábados a las 6:30 pm.Hay mas iglesias con misa en español. Para más información ingresa a <Link1>",6-Aug-19,6-Aug-19,20,Negocios,Iglesia,Catolica,,,http://masstimes.melbournecatholic.org.au/Fitzroy-North,http://masstimes.melbournecatholic.org.au/Ascot-Vale-and-Maribyrnong,,Iglesica Catolica Fitzroy,Iglesia Catolica Ascot Vale,
"De acuerdo a otras recomendaciones de otras personas, la empresa que aconsejan es Legal Aid, ya que cuentan con abogados que manejan el Español y es gratis. Para mayor informacion puedes dirigirte a la pagina web a continuacion.",6-Aug-19,6-Aug-19,64,Negocios,Abogado,Español,,,https://www.legalaid.nsw.gov.au/,,,Legal Aid,,
"La traducción de tu documento debe ser realizado por un traductor NAATI. Para ver la lista de todos los traductores disponibles, puedes ingresar al siguente link. Una de las empresas disponibles es Entrelingo la cual puedes contactar a traves del siguiente enlance.",6-Aug-19,6-Aug-19,65,Negocios,Traductor,,,,https://www.naati.com.au/mynaati/PDSearch/StartNewSearch,https://www.entrelingo.com/,,Naati,Entrelingo,
"Si, lo consideramos importante. Si tienes una visa temporal, con la licencia colombiana vigente y la traducción NAATI puedes manejar mientras estás en Australia. Si tienes residencia permanente, puedes manejar por 6 meses con la licencia colombiana y luego deberás realizar el proceso para obtener la licencia del estado donde residas en Australia. Si no tienes licencia vigente colombiana, deberás un proceso mas largo y costoso. Para más información ingresa aca <LINK>",6-Aug-19,6-Aug-19,66,Vida,Documentos,Licencia,Vigencia,,,,,,,
"La traducción de tu licencia de conducir debe ser realizada por un traductor NAATI. Para ver la lista de todos los traductores disponibles, puedes ingresar al siguente link <LINK1>. Una de las empresas disponibles es Entrelingo la cual puedes contactar a traves del siguiente enlance <LINK2>",6-Aug-19,6-Aug-19,10,Negocios,Documentos,Licencia,Traduccion,,https://www.naati.com.au/mynaati/PDSearch/StartNewSearch,https://www.entrelingo.com/,,Naati,Entrelingo,
"Es mejor traer la licencia colombiano, ya que puedes usar tu licencia por tres meses y los tramites son mucho mas faciles y rapidos para tramitar la licencia australiana si traes la licencia colombiana.",6-Aug-19,6-Aug-19,68,Vida,Documentos,Licencia,Moto,,,,,,,
"La solvencia economica es uno de los requisitos mas importantes al momento de aplicar a la visa estudiantil en Australia. Esta es solicitada ya que demostrara que te podras quedar y sostener financieramente en este pais sin ningun problema, ya que solo podras trabajar 20 horas a la semana.",6-Aug-19,6-Aug-19,69,Visa,Tramites,Estudiar,,,,,,,,
"De acuerdo a los diferentes analisis que hemos tenido, es mucho mas probable que te aprueben una visa de estudiante a una visa de trabajo. La otra opcion que tendrias es la de aplicar a la Skill visa, pero esta depende de tu nivel de ingles y otros requerimientos. Para mayor informacion puedes dirigirte a la pagina web a continuacion.",6-Aug-19,6-Aug-19,70,Visa,Trabajo,Estudiar,,,https://immi.homeaffairs.gov.au/visas/working-in-australia,,,Govierno de Australia,,
"El termino ""extender"" la visa realmente no existe. Para poder permanecer en Australia, tendras que seguir estudiando para obtener una visa nuevamente, o si cuentas con los requerimientos exigidos por immigracion, podrias aplicar a la residencia permanente.",6-Aug-19,6-Aug-19,71,Visa,Tarifas,Estudiar,,,,,,,,
"Tu puedes gestionar la visa por ti solo, mas sin embargo se te recomienda visitar a una agencia ya que te pueden brindar una mejor asesoria. Existen muchas agencias de immigracion que te pueden ayudar a tramitar tu visa de estudiante. Estas agencias se encuentran ubicadas en Colombia o en Australia y las puedes contactar por su pagina web. A continuacion, puedes leer nuestro blog acerca de como escoger una agencia estudiantil. Tambien te recomendamos usar nuestra herramienta de comparasion para que compares cursos en Australia.",6-Aug-19,6-Aug-19,72,Negocios,Visa,Estudiar,,,Blog,,,,,
"Los costos para una escuela publica en Australia varian dependiendo de que escuela escojas y donde estas ubicado. Estos costos estan aproximadamente desde los $AUD 7000 a los $AUD 38000 cada 12 meses. si quieres mas informacion acerca de estos costos, dirigete a la siguiente pagina web.",6-Aug-19,6-Aug-19,73,Vida,Australia,Familia,,,https://www.goodschools.com.au/insights/education-updates/survey-reveals-the-cost-of-an-australian-school-education,,,La Guia de buenas escuelas,,
Si requieres una visa de transito para hacer escala en cualquier ciudad de Canada. Para mas informacion dirigete a la siguiente pagina web.,6-Aug-19,6-Aug-19,74,Viaje,Visa,Canadá,Tramites,,https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/transit.html,,,Govierno de Canada,,
"El tiempo determinado por la embajada de Nueva Zelanda para obtener una visa es de 40 dias, mas sin embargo estos dias pueden variar y puede que te la otorguen en 15 o 20 dias. Esta tiene un costo approximado de $NZD 200. Para mas informacion ve a la pagina web de la embajada de NZ <Link>",6-Aug-19,6-Aug-19,75,Viaje,Visa,Nueva Zelanda,,,https://www.immigration.govt.nz/new-zealand-visas/apply-for-a-visa,,,Immigracion de NZ,,
"El tramite de la visa de turista lo puedes realizar en linea. Este tramite tiene un costo de aproximadamente $AUD 145 y se te demoraria aproximadamente entre 2 y 4 semanas. Para mayor informacion acerca de las visas de turista, puedes dirigirte a la siguiente pagina web.",6-Aug-19,6-Aug-19,76,Viaje,Visa,Australia,,,https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/visitor-600/tourist-stream-overseas,,,Govierno de Australia,,
"Si cuentas con una visa de estudiante y estas actualmente estudiando en Australia, si puedes hacer una carta de invitacion a un familiar.",6-Aug-19,6-Aug-19,77,Visa,Familia,Turista,Tramites,,,,,,,
