name,excerpt,description,inspiration_id,created_at,updated_at,question,factor,code
Day in the life,A candidate's 'A day in the life',"Give candidates an opportunity to test the job for a day. To ensure that prospects truly understood what the job would be like and what it would feel like to work in the office with their new colleagues, after receiving an offer and prior to accepting they are invited to shadow someone in the role and ask questions. The goal is to give the prospect a truly realistic representation for what the work will be like before they accept the offer. This reduces miscommunication about the job.",cc1f1457-226a-46fd-8898-d30daf6de6af,2017-08-17T11:00:44.108050,2018-01-25T04:20:45.789352,I am happy with my current role relative to what was described to me,,ALI.2
Reward transparency,Enable greater understanding of pay decisions,"Create greater transparency and understanding for how pay raises and bonuses are applied. At one company, during the performance review process each employee was given a packet with their feedback and details on their merit increases and bonus; it explained the precise formula for how their bonus and merit raise was calculated. Because the formula was the same for everyone, it increased the perceived fairness of company-wide compensation.",6da11d9e-edb5-4ff5-a528-a350f15cf958,2017-08-17T11:03:10.674993,2018-01-25T04:20:45.889646,"I believe my total compensation (base salary+any bonuses+benefits+equity) is fair, relative to similar roles at other companies",,ALI.3
Frequent pay calibrations,Increase the cadence of calibrations,"Instead of yearly pay calibrations, consider more frequent check-ins. This approach of more frequent salary checks is based on the thinking that the moment you realize an employee deserves a raise, they should receive it. The longer between that realization and the raise, the more time the employee has to feel that their contributions are not being fairly compensated. In a highly competitive job market this can lead to regrettable turnover that could have otherwise been addressed.",4747dcbb-eb90-4f9c-8e83-50d583757ca4,2017-08-17T11:03:38.125572,2018-01-25T04:20:45.897757,"I believe my total compensation (base salary+any bonuses+benefits+equity) is fair, relative to similar roles at other companies",,ALI.3
Vacation discounts,Help make vacations a financial reality for your employees,"Make special vacations a reality for employees. To incentivize taking vacations, one company partners with travel agencies and hotels to provide their employees with discounts on vacation packages. They advertise these discounts internally and have setup channels on their internal communications software for employees to share their experience on the trips and to encourage others to take advantage of opportunities.",905e2ce6-cfae-4be0-aaf0-55b914abfcde,2017-08-17T11:07:24.636819,2018-01-25T04:20:46.018383,"I believe my total compensation (base salary+any bonuses+benefits+equity) is fair, relative to similar roles at other companies",,ALI.3
Alignment workshops,Align work to organization change efforts and strategy,"Align company work processes to company change efforts. Hold regular alignment workshops where mid-level managers, the ones responsible for making processes run efficiently and effectively, are asked to reflect on existing operational and people practices to identify how their current systems and processes might block achievement of the company strategy. Outputs include a cost-impact analysis (matrix format) where high impact, low cost items are candidates for immediate action.",f6acf8c7-e8ff-4299-97cd-347bbcacf989,2017-08-17T11:00:15.264839,2018-01-25T04:20:45.764726,I know how my work contributes to the goals of %ACCOUNT_NAME%,,ALI.4
Capability and team profiles,Map roles to organization capabilities that drive strategy,Create a visual summary of your organization's strategic capabilities and map each role and team to the capabilities. One company does this to help people understand how they contribute and who to go to for input on specific projects.,9b191317-764d-4132-bcbc-ccd321636de6,2017-08-17T11:00:17.697505,2018-01-25T04:20:45.765439,I know how my work contributes to the goals of %ACCOUNT_NAME%,,ALI.4
Level-up alignment sessions,"Connect employees to organization mission, vision, and brand","Connect employees to the organization's mission using level-up alignment sessions. One company delivers these sessions at annual all-hands conferences focused on their vision, mission, and brand. Every employee is encouraged to collaborate on what the vision, mission, and brand mean, and to align on key messaging. Internal keynote speakers drum up excitement for the mission, providing fresh perspectives.",eb0aa1a9-0aaf-4009-a985-167c8780aaa7,2017-08-17T11:00:19.352075,2018-01-25T04:20:45.766170,I know how my work contributes to the goals of %ACCOUNT_NAME%,,ALI.4
Onboarding at headquarters,Give new hires time at headquarters ,"To get employees onboarded and contributing quickly in a way that best aligns with company goals, one company brings all new employees (regardless of distance) to company headquarters as a part of their orientation. As part of this, new hires hear speeches from the executive team, experience a live product demo, and meet with colleagues from other functions who they will be working and collaborating with in their roles.",1a1ac666-87a8-46bc-8511-04157a9c9a72,2017-08-17T11:00:24.195319,2018-01-25T04:20:45.767683,I know how my work contributes to the goals of %ACCOUNT_NAME%,,ALI.4
In-person project kickoff,Get the entire team together to kickoff a new project,Bring every team member to a central location anytime there is a kick-off for a new project. One company has found this helps align the team on the goals of the project and strengthens team member relationships from the beginning.,3d82ef92-0ffa-4d3d-81e4-b950c1d4ae37,2017-08-17T11:00:26.629452,2018-01-25T04:20:45.768361,I know how my work contributes to the goals of %ACCOUNT_NAME%,,ALI.4
Coffeehouse meetings,Enable casual cross-business current work sharing,"Create casual forums for cross-team sharing. One company designed ""Coffeehouse"" meetings where cross functional teams can share what they are working on. The company that started the monthly team ""Coffeehouse"" meeting did so to connect employees to key pieces of information and encourage cross-business sharing. It is a casual, 90 minute meeting where various senior leaders explain what their teams are working on and how it links to organizational objectives. With high participation among employees and the most senior leaders, it was an innovative way to communicate.",fcc8b1f2-d92c-48de-a08d-dffde6d83431,2017-08-17T11:00:33.388453,2018-01-25T04:20:45.770476,I know how my work contributes to the goals of %ACCOUNT_NAME%,,ALI.4
Team growth exercise,Align on what the team can achieve,"To facilitate team alignment on goals, one company encourages each team to hold a quarterly team growth exercise where the teams state what they can accomplish in the short term (3-6 months), what they want to accomplish strategically in the long term (1-2 years) and what resources are needed from the organization to achieve those goals.",cd6c7724-5da6-4a10-aff2-7f0e29a3ba73,2017-08-17T11:01:45.077382,2018-01-25T04:20:45.829898,I know how my work contributes to the goals of %ACCOUNT_NAME%,,ALI.4
LinkedIn makeover,Manager and employee work together on description,"Encourage employees to work with their manager to make over the employees' LinkedIn profile. The goal is to identify gaps in how employees and managers describe the job. Additionally, managers have an opportunity to review peoples' experience and identify how they might utilize their skills and strengths in their current role.",bbd0f858-7537-433d-9113-c2d5fafb85d5,2017-08-17T11:00:38.313556,2018-01-25T04:20:45.772650,I know what I need to do to be successful in my role,,ALI.5
Expanded career conversations,Hold mid-year career conversations,Hold more regular career-focused conversations with employees. One approach is to hold mid-year career conversations that focus solely on development and career planning. These conversations are led by the employee so that they are encouraged to take ownership of their development. They are provided with a simple template to complete as a guide for the conversation. The employees are encouraged to include a discussion of their personal and job-related goals so the manager can give recommendations for individual skills development opportunities.,fade6361-3514-45f9-8ad7-9be84dafb609,2017-08-17T11:04:35.065515,2018-01-25T04:20:45.913654,I know what I need to do to be successful in my role,,ALI.5
Career jungle gym,Communicate role descriptions and opportunities,"Create a clear way to communicate all development opportunities. One company developed what they call a Career Jungle Gym, which is a career pathing document that clearly lays out opportunities across the organization. The Career Jungle Gym will often differ depending on function and role and covers topics such as expected behaviors, scope, responsibilities, leadership traits, and independence/autonomy. This can also be used as a foundation to talk about new opportunities where an employee is not the right fit for a given role.",b02af541-1830-4e81-805c-f946389d9f85,2017-08-17T11:04:42.655216,2018-01-25T04:20:45.924199,I know what I need to do to be successful in my role,,ALI.5
Customized career templates,Use customized templates for focused career conversations,Providing customized career conversation templates helps facilitate career development conversations between managers and employees. Templates are customized depending on the employee's goals (e.g. gain leadership skills or transfer to a new department). Career conversation templates are useful to guide both performance reviews and employee check-ins.,5e60d313-dc64-4d30-a7d0-16401f4863f9,2017-08-17T11:04:50.188388,2018-01-25T04:20:45.937619,I know what I need to do to be successful in my role,,ALI.5
More frequent feedback,Increase the cadence of feedback for employees,"Increase the cadence of feedback for employees. One company has decided to abandon performance ratings. They have created a more frequent and feedback-focused performance management process. Every quarter, every employee sits down with their manager to give and receive feedback and discuss goals from the quarter prior and upcoming quarter. They can also discuss career pathing.",a4ad8230-e1e5-41d8-a5ca-88851c032190,2017-08-17T11:05:24.952641,2018-01-25T04:20:45.927009,I know what I need to do to be successful in my role,,ALI.5
Better one-on-one meetings,Create more effective one-on-one meetings,"Embedding a consistent practice of one-on-one meetings throughout an organization is a key component of performance management. At one company, managers and individual contributors are trained on what how to run effective one-on-one meetings. This company formed a team to help develop new content to help managers in their one-on-one meetings, including: what makes a great one-on-one meeting, what types of conversations to have, a manager checklist, dos and don'ts, and a bank of questions to use to stimulate the right conversations. Geographically dispersed organizations may want to ensure there are one-on-one meeting champions in each location to assist managers with new training and tools. Executives should also be encouraged to role-model effective one-on-one practices.",36461586-c18f-415c-9c4c-932f83088838,2017-08-17T11:05:28.287519,2018-01-25T04:20:45.927706,I know what I need to do to be successful in my role,,ALI.5
Role narratives,Go beyond tasks to describe the mission of each role,"Create role narratives for everyone on your team. Role narratives describe expectations of each role more broadly than a list of responsibilities, which is often seen in job descriptions. A role narrative is a simple one-page description that helps a hiring manager narrow in on and articulate the purpose of a role, as well as what success looks like in both the short term and long term. A role narrative will typically include: title, mission, 12 month vision, key outcomes and decision scope. It may also include a team mission and how the role contributes to the success of the team.",d7e4c3ca-b6a6-44b6-b85c-93f79ee664a7,2018-06-08T02:19:59.165708,2018-06-08T02:19:59.172295,I know what I need to do to be successful in my role,,ALI.5
Internal communications channels,Using internal communication channels to align on decisions,"Use internal communications channels to align on decisions. One company uses internal collaboration channels to help team members feel more involved in decision making. Individual channels are created for specific projects and teams to support cross-communication. All key decisions are shared and debated in the relevant channels, ensuring that team members are involved in outcomes that affect day-to-day work activities. Team members are not required to be involved in the conversation, but are welcome to participate if they choose to.",4ef79dcb-02b0-494e-a5f4-9ea05cab571b,2017-08-17T11:00:29.159373,2018-01-25T04:20:45.769092,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Improved conversations,Facilitating better dialogue in meetings,"Improve meeting effectiveness with clearly-defined opportunities to contribute. After receiving survey feedback that employees didn't feel they could be open and honest, the executive team at one company instituted a practice called 'elephants, dead fish and vomit' at regular meetings. Elephants are the big things in the room nobody is talking about, dead fish are the things from the past people can't let go of and vomit is for those situations when someone just needs to be heard. Allocating time for this facilitates dialogue because time is set aside for people to share views that could align with the ideas of elephants, dead fish and/or vomit.",2c4f398f-161e-4f66-bb23-b5514355d477,2017-08-17T11:00:48.154054,2018-01-25T04:20:45.798787,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Skip level meetings,Implement skip level meetings around decision making,Foster open communication and alignment using skip-level meetings. Encourage people leaders who manage other people leaders to implement regular skip-level meetings. A skip level meeting occurs between a people leader and someone (or a group) two levels below them - without the people leader who those people report to attending - thereby skipping a layer of management. The people leader asks open questions to get an insight into how the people are going and can answer questions about the mission and objectives as well as how decisions are made. This fosters an open environment where employees feel included in important decisions. ,622179d7-b06b-4493-9b17-9f8d5ff5b7b0,2017-08-17T11:00:49.831106,2018-01-25T04:20:45.809673,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
No triangles,Encouraging open and direct feedback,"Encourage open and honest feedback within your organization. One leader implemented a no-triangle rule in her team after finding that people were not being up front and honest with one another. The 'no-triangle' rule states that if you have feedback for an individual, then you must go directly to that individual and not to a third party. Everyone has permission to call someone out on the rule.",a0bb9c26-5c3e-4b45-9514-c673f9abf978,2017-08-17T11:00:52.262116,2018-01-25T04:20:45.790021,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Anonymous questions,Create anonymous comms channel for employees ,"Make space for feedback and questions from all employees. To facilitate questions at all hands meetings, one company created an anonymous communications channel (using its internal comms software). Employees ask questions anonymously prior to all hands meetings. The questions are then answered by leadership at these meetings. Employees feel that their voices are heard and they can express their opinions without connecting their name to the question. This could also be done at a team level prior to team meetings.",4e1e81a2-9f33-4473-83dc-c6b8e4917a93,2017-08-17T11:01:07.333956,2018-01-25T04:20:45.787361,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Project FAQs,Answer and archive cross-department FAQs,"Create living FAQs for each project and ask employees outside of the team what they want to know. One company uses this approach to ensure all relevant information is easily accessible. The project owner answers questions in the living document as they're asked, keeping the document up-to-date.",aef097ea-4280-4fc9-a5dc-447d62f31d55,2017-08-17T11:01:14.637568,2018-01-25T04:20:45.810377,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Information flows exercise,Identify information flow blockers,"The information flows exercise focuses on identifying blockers. One company teams get together regularly and look at their daily operations and opportunities for greater efficiency. They identify specific information blockers in the process. The team first asks, ""When was our own team the blocker for another team, whether it was information withheld or taking too long to complete a task?"" Then, they discuss when their own team was blocked and how they can ask others to do things differently to prevent it from happening. Summaries from these meetings are published publicly within the company and groups where blockers are identified are approached to design solutions.",3dc4a7cb-8908-4581-8d17-b19702df1de8,2017-08-17T11:01:50.189557,2018-01-25T04:20:45.791329,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Directly responsible individual,A decision-making framework,"Make better decisions by clarifying who owns the decision and providing transparency about the process. A DRI (Directly Responsible Individual) grid method can facilitate more open and clear decision-making. The DRI grid is shared with everyone in the organization and records who owns each decision, key stakeholders, their feedback and possible alternative decisions. This framework empowers the DRI and enables everyone to understand and support important decisions.",89bf6653-bd98-41fa-94c7-ae1484c21e75,2017-08-17T11:02:20.284676,2018-01-25T04:20:45.837197,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Synthesis sessions,In-person leader facilitated discussions,Hold open forums to share information about the current state of the organization with employees. One company has 'Synthesis sessions' which are monthly meetings where a leader discusses current business challenges and successes as well as changes in market positions. The first 15 minutes of the session focus on the leader sharing current opportunities and discussing future possibilities. The remaining time is devoted to open discussion on any questions employees have about the business and concerns that individuals on the team may have about blockers to their ability to help the business achieve its goals.,7222a089-95dc-4eed-a181-500d5e1711b2,2017-08-17T11:04:16.082798,2018-01-25T04:20:45.863483,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Universal Storytelling,Share stories across your company,"Encourage opportunities for team members to share stories about themselves and their work experiences to create understanding at a deeper level. By applying the concept of universal storytelling, you can build an approach that doesn't deny differences but rather celebrates similarities, and brings people together in a shared experience that wouldn't have existed otherwise. Research has shown that this form of sharing creates social bonds and a feeling of belonging.",2f240d47-981a-4bfa-8c2c-69e9fe60fbaf,2018-02-22T22:31:25.817561,2018-02-22T22:31:25.833510,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Leadership Vulnerability,Build psychological safety through leaders,"Set up a session at an all hands meeting or a training workshop where leadership can practice demonstrating vulnerability when receiving constructive feedback. The most difficult act when receiving a differing opinion is allowing yourself to be vulnerable and fully absorb the information without getting defensive. When leadership demonstrates vulnerability while hearing difficult feedback, it sends the message that learning from mistakes is valued and encourages teams to take risks. This Action was created in collaboration with [Argo Collective.](https://www.argocollective.co)",50ef305b-a19d-4763-ab37-950102d73b9d,2018-09-11T07:17:52.984855,2018-09-11T07:17:53.005132,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Honest Feedback,Embrace vulnerability through honest feedback ,"Try having teams anonymously share feedback with leadership, which leaders read out loud back to the teams. (It’s humbling, but worth it!) When managers and members of leadership share times when they made mistakes, it creates a safe space for teams to follow suit. Similar to ‘mean tweets’ on Jimmy Kimmel, sharing faults with the team humanizes leadership and encourages others to share their thoughts, even when they’re critical. This Action was created in collaboration with [Argo Collective.](https://www.argocollective.co)",ceb5be8f-2891-4f87-825b-50684818b752,2018-09-11T07:16:51.446910,2018-09-11T07:16:51.460484,At %ACCOUNT_NAME% there is open and honest two-way communication,,COL.1
Meeting Manifesto,Improve meeting effectiveness,"Improve meeting effectiveness using clear guidelines. One company developed a meeting manifesto which outlines what a quality meeting looks like and keeps the end goal and objective of the meeting in mind. For each meeting, the meeting owner is challenged to identify the purpose, key decision makers and clearly state why each person has been invited.",2110915a-35aa-4f18-9efc-e18e8a814f89,2017-08-17T11:00:45.739845,2018-01-25T04:20:45.794087,Most people here make a good effort to consult other staff where appropriate,,COL.2
Seat shuffle,Get to know others in the business,"Encouraging employees to get to know others outside their team, the seat shuffle moves employees around the office and introduces them to other people in the organization. One company shuffles seats every three months. Not all teams are required to participate and some teams that need to work closely in person each day prefer to keep the shuffle within the team.",6b0d0bd5-ce50-480c-b937-7faab0026b19,2017-08-17T11:00:53.884463,2018-01-25T04:20:45.794741,Most people here make a good effort to consult other staff where appropriate,,COL.2
Decision-making framework,Include consulting others in your decision-making framework,"Making consultation part of the formal decision-making process facilitates transparency and clarity. Share who has been consulted on a decision whenever a decision is shared. By highlighting the names of people who were consulted, reviewers of the decision can quickly identify the basis for the decision. This practice is particularly helpful in global organizations. It is not to demonstrate consensus, but to show that decision-makers considered other perspectives and implications.",ef4cdbe2-439e-43a7-a198-895e32847b30,2017-08-17T11:01:00.420301,2018-01-25T04:20:45.790682,Most people here make a good effort to consult other staff where appropriate,,COL.2
Who's who in the zoo,Keeping employees connected,"Growing quickly can result in newcomers finding it difficult to feel part of a team. To help people get to know each other, set-up a 'who's who in the zoo' program. A quiz and competitions in each region with questions such as, 'If you make a change to the pricing, who do you need to involve?' and 'Which team do you go to for advice on contracts?' provide fun ways to get to know people and procedures. The quiz also includes more general questions such as, 'Where is the all staff directory', and fun facts like 'Which team member has nine brothers?' and 'Which customer coach was a finalist in American Idol?'.",0826f61d-c88d-4842-b6c2-5ed20fd172d1,2017-08-17T11:01:02.865682,2018-01-25T04:20:45.773347,Most people here make a good effort to consult other staff where appropriate,,COL.2
Living org chart,Learn where your colleagues live,Develop a living org chart so people can see where their co-workers are located across geographies and teams. One company that uses a living org chart finds it enhances connections between employees. People are more likely to consult each other and reach out to one another to collaborate.,f7c90506-c288-47a6-9740-f522f8ee24f2,2017-08-17T11:01:04.507478,2018-01-25T04:20:45.799446,Most people here make a good effort to consult other staff where appropriate,,COL.2
Project service announcements,Broadcast new projects to get input,Implement PSAs (Project Service Announcements) that inform the organization of a new project kicking off and asks stakeholders to provide relevant background information or necessary resources. One company developed this program to ensure the right people were being consulted and historical context was being given prior to starting a project.,4636f5d1-6d91-4a99-8c83-07760c3db3ae,2017-08-17T11:01:12.193888,2018-01-25T04:20:45.828576,Most people here make a good effort to consult other staff where appropriate,,COL.2
Project FAQs,Answer and archive cross-department FAQs,"Create living FAQs for each project and ask employees outside of the team what they want to know. One company uses this approach to ensure all relevant information is easily accessible. The project owner answers questions in the living document as they're asked, keeping the document up-to-date.",aef097ea-4280-4fc9-a5dc-447d62f31d55,2017-08-17T11:01:14.637568,2018-01-25T04:20:45.810377,Most people here make a good effort to consult other staff where appropriate,,COL.2
Go-to badges,Increase knowledge sharing,"Increase knowledge sharing by highlighting peoples' expertise. The organization that came up with this idea nominates individuals to 'wear' badges on their desks with topics they know a lot about. Each employee is encouraged to have at least two work-related badges (examples include 'brand marketing' and 'Ruby on Rails') and a personal badge (anything from 'woodworking' to 'raising twins'). As a result, informal knowledge-sharing has increased and people have learned new things about their colleagues.",21224bfa-857e-41dd-896a-86603cc12e13,2017-08-17T11:01:58.435342,2018-01-25T04:20:45.792018,Most people here make a good effort to consult other staff where appropriate,,COL.2
Product advisory group,Cross-team oversight to get a fresh perspective,"Enable cross-functional input into product development through a Product Advisory Board. At one organization a representative from each team has a place on the Product Advisory Board. The board meets once a week with the product manager and designer to discuss the evolution of the product, provide feedback on key decision points and help develop internal and external content. A similar group could be implemented at the team level with collaboration from other teams. Another lightweight alternative would be to invite members from other teams to your team planning meeting to get a fresh perspective.",33b35e97-4627-4e79-92bb-64a7842ed118,2017-08-17T11:06:04.039401,2018-01-25T04:20:45.958893,Most people here make a good effort to consult other staff where appropriate,,COL.2
Coffee lottery,Set up meetings with employees that don't know each other,"Use a coffee lottery to connect employees who don't often speak to each other. One company used an automated lottery 'bot' in its internal communications system. The company titled its bot 'Donut'. This bot matches employees with a partner to have coffee with, either in person or via videoconference, every two weeks. Following the coffee meeting, employees are encouraged to post a picture in a dedicated communication channel and let everyone know what they learned about each other. Help encourage involvement by reimbursing the cost of the coffee.",7c144a98-d41e-491c-b425-64b8ca0851eb,2017-08-17T11:06:56.491025,2018-01-25T04:20:46.015392,Most people here make a good effort to consult other staff where appropriate,,COL.2
Seat shuffle,Get to know others in the business,"Encouraging employees to get to know others outside their team, the seat shuffle moves employees around the office and introduces them to other people in the organization. One company shuffles seats every three months. Not all teams are required to participate and some teams that need to work closely in person each day prefer to keep the shuffle within the team.",6b0d0bd5-ce50-480c-b937-7faab0026b19,2017-08-17T11:00:53.884463,2018-01-25T04:20:45.794741,Other departments at %ACCOUNT_NAME% collaborate well with us to get the job done,,COL.3
Insight days,Experience a day in the role of someone else,"Enabling employees to experience a different role for a day helps to develop empathy across functions and break down barriers. One company developed a program where all employees are required to do at least one day in someone else's role each quarter. To make it easier and minimize disruption, this company also allocated specific days when a larger group of people could switch roles. They created a rough guide for hosts to help them structure their day with minimal preparation. This initiative not only creates empathy for other roles, it also reduces silos and increases collaboration.",5c241e78-50fd-43bc-a509-49f6dbd6d557,2017-08-17T11:00:57.152787,2018-01-25T04:20:45.780478,Other departments at %ACCOUNT_NAME% collaborate well with us to get the job done,,COL.3
Living org chart,Learn where your colleagues live,Develop a living org chart so people can see where their co-workers are located across geographies and teams. One company that uses a living org chart finds it enhances connections between employees. People are more likely to consult each other and reach out to one another to collaborate.,f7c90506-c288-47a6-9740-f522f8ee24f2,2017-08-17T11:01:04.507478,2018-01-25T04:20:45.799446,Other departments at %ACCOUNT_NAME% collaborate well with us to get the job done,,COL.3
Department liaison,Create a customer Liaison role to help the product teams prioritize ,"Create a role that facilitates communication between key parts of the organization. In order to ensure customer feedback was getting to the product team, one company developed a liaison role. This individual discusses feedback and perceived priorities with several customer teams. Then they summarize the feedback and take it to the product team. Customer facing employees are happy that they can take the feedback directly to the product team in a formalized way and appreciate that the product team has a pulse on where customer priorities are.",9b4bca01-674d-4864-a501-d94d3e190c27,2017-08-17T11:01:09.761932,2018-01-25T04:20:45.819326,Other departments at %ACCOUNT_NAME% collaborate well with us to get the job done,,COL.3
Project service announcements,Broadcast new projects to get input,Implement PSAs (Project Service Announcements) that inform the organization of a new project kicking off and asks stakeholders to provide relevant background information or necessary resources. One company developed this program to ensure the right people were being consulted and historical context was being given prior to starting a project.,4636f5d1-6d91-4a99-8c83-07760c3db3ae,2017-08-17T11:01:12.193888,2018-01-25T04:20:45.828576,Other departments at %ACCOUNT_NAME% collaborate well with us to get the job done,,COL.3
